,Loss func,Func params,Num observations,Learn rate,Init w1,Init w2,Init bias,break good,break bad,Num iterations,w1 delta,w2 delta,bias delta,loss / num obs,loss,w1,w2,bias
27,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-0.1,0.1,10.0,False,False,9999,0.09,-0.122,-4.513,10.812,10811.939,1.91,-2.878,9.513
28,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-0.1,10.0,-10.0,False,False,9999,0.199,-0.518,13.6,96.721,96720.864,1.801,-2.482,-8.6
29,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-0.1,10.0,-0.1,False,False,9999,0.176,-0.502,4.642,15.152,15152.365,1.824,-2.498,0.358
30,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-0.1,10.0,0.1,False,False,9999,0.175,-0.501,4.461,14.331,14331.219,1.825,-2.499,0.539
31,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-0.1,10.0,10.0,False,False,9999,0.152,-0.485,-4.497,14.606,14606.249,1.848,-2.515,9.497
32,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,-10.0,-10.0,False,False,9999,0.065,0.216,13.567,93.022,93021.529,1.935,-3.216,-8.567
33,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,-10.0,-0.1,False,False,9999,0.042,0.232,4.609,11.743,11743.136,1.958,-3.232,0.391
34,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,-10.0,0.1,False,False,9999,0.042,0.232,4.428,10.928,10927.85,1.958,-3.232,0.572
35,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,-10.0,10.0,False,False,9999,0.018,0.249,-4.53,11.493,11492.987,1.982,-3.249,9.53
36,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,-0.1,-10.0,False,False,9999,0.128,-0.147,13.583,92.569,92569.032,1.872,-2.853,-8.583
37,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,-0.1,-0.1,False,False,9999,0.104,-0.13,4.625,11.149,11149.074,1.896,-2.87,0.375
38,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,-0.1,0.1,False,False,9999,0.104,-0.13,4.444,10.331,10330.929,1.896,-2.87,0.556
